type	latitude	longitude	altitude (m)	name
T	51.073126000	3.736630000	4.7	GPS data
T	51.073026000	3.737594000	1.3	
T	51.061740000	3.738402000	5.7	
T	51.057507000	3.740038000	8.0	
T	51.057246000	3.738283000	7.2	
T	51.055576000	3.738881000	9.0	
T	51.049110000	3.738494000	8.3	
T	51.043496000	3.740634000	6.1	
T	51.043311000	3.740890000	3.6	
T	51.042025000	3.739681000	6.4	
T	51.040880000	3.742422000	8.6	
T	51.038075000	3.747977000	10.9	
T	51.034811000	3.754024000	9.4	
T	51.015449000	3.784490000	9.9	
T	51.003805000	3.799749000	10.3	
T	51.003441000	3.799009000	12.2	
T	51.002132000	3.797827000	11.9	
T	50.998174000	3.800267000	12.0	
T	50.995487000	3.801958000	11.1	
T	50.977668000	3.805167000	16.4	
T	50.971982000	3.810920000	29.6	
T	50.966707000	3.810891000	38.1	
T	50.958453000	3.811984000	50.9	
T	50.957346000	3.809582000	51.0	
T	50.954318000	3.809647000	46.9	
T	50.948938000	3.805013000	49.4	
T	50.946728000	3.808464000	54.0	
T	50.945544000	3.807526000	51.1	
T	50.945520000	3.806957000	49.0	
T	50.940581000	3.810934000	48.7	
T	50.938158000	3.806765000	38.9	
T	50.932924000	3.812622000	51.0	
T	50.929214000	3.805562000	49.7	
T	50.927642000	3.805036000	55.0	
T	50.927370000	3.804151000	51.5	
T	50.922507000	3.806302000	52.7	
T	50.917356000	3.808239000	56.3	
T	50.906547000	3.814589000	59.4	
T	50.904006000	3.817751000	65.9	
T	50.899105000	3.823069000	62.6	
T	50.898538000	3.828914000	66.3	
T	50.865902000	3.844533000	76.2	
T	50.864862000	3.844990000	72.5	
T	50.863296000	3.848528000	66.0	
T	50.860292000	3.857291000	58.0	
T	50.841777000	3.870503000	60.6	
T	50.794177000	3.873149000	31.7	
T	50.777750000	3.872254000	22.0	
T	50.777942000	3.875260000	19.0	
T	50.777075000	3.882503000	24.5	
T	50.773664000	3.882664000	33.7	
T	50.774105000	3.886709000	59.8	
T	50.773486000	3.887353000	64.7	
T	50.769945000	3.887009000	70.9	
T	50.769449000	3.889687000	86.0	
T	50.766835000	3.888968000	78.6	
T	50.766577000	3.889778000	76.8	
T	50.766539000	3.889747000	76.5	
T	50.763680000	3.893220000	48.6	
T	50.759817000	3.900802000	37.8	
T	50.752626000	3.916899000	26.0	
T	50.733841000	3.952353000	41.8	
T	50.726866000	3.975119000	72.7	
T	50.703760000	4.030198000	51.0	
T	50.703523000	4.030897000	50.0	
T	50.699434000	4.035392000	57.4	
T	50.696236000	4.036494000	48.9	
T	50.693117000	4.032325000	49.1	
T	50.691674000	4.033548000	52.2	
T	50.690539000	4.032224000	57.1	
T	50.682072000	4.031925000	60.6	
T	50.670212000	4.035856000	59.7	
T	50.643681000	4.045837000	70.0	
T	50.629524000	4.050946000	65.5	
T	50.594206000	4.061666000	78.0	
T	50.593437000	4.061657000	75.4	
T	50.585402000	4.064311000	87.0	
T	50.582680000	4.063265000	85.0	
T	50.581401000	4.068339000	80.0	
T	50.570076000	4.065745000	93.7	
T	50.570693000	4.067980000	92.4	
T	50.558883000	4.079407000	91.8	
T	50.531247000	4.098371000	108.9	
T	50.501975000	4.110598000	130.9	
T	50.501126000	4.110665000	133.1	
T	50.496827000	4.111193000	111.6	
T	50.496138000	4.111101000	109.1	
T	50.493926000	4.110843000	107.2	
T	50.492173000	4.110517000	111.8	
T	50.491496000	4.116565000	123.8	
T	50.491221000	4.116547000	123.6	
T	50.485518000	4.119589000	111.0	
T	50.484576000	4.120135000	109.7	
T	50.484392000	4.119422000	109.1	
T	50.481269000	4.119884000	98.0	
T	50.479205000	4.119466000	87.2	
T	50.477528000	4.120020000	73.0	
T	50.477698000	4.121040000	72.3	
T	50.476641000	4.121529000	70.0	
T	50.474626000	4.124304000	82.9	
T	50.473621000	4.125779000	84.9	
T	50.470372000	4.130479000	92.8	
T	50.451089000	4.147545000	56.0	
T	50.450428000	4.148006000	57.5	
T	50.450028000	4.148947000	55.9	
T	50.441964000	4.144488000	58.8	
T	50.435721000	4.150851000	61.7	
T	50.435782000	4.151001000	62.9	
T	50.432884000	4.152222000	55.0	
T	50.415821000	4.161016000	67.0	
T	50.414101000	4.161669000	72.5	
T	50.414327000	4.162453000	73.7	
T	50.411366000	4.162726000	81.9	
T	50.410018000	4.162316000	86.4	
T	50.409678000	4.162898000	86.2	
T	50.408483000	4.162994000	79.7	
T	50.407408000	4.164195000	82.6	
T	50.404211000	4.164478000	105.5	
T	50.403247000	4.164579000	110.1	
T	50.403147000	4.164943000	112.1	
T	50.389411000	4.158157000	150.2	
T	50.380704000	4.155666000	151.0	
T	50.378000000	4.157091000	157.9	
T	50.364817000	4.165102000	179.7	
T	50.329350000	4.161039000	133.9	
T	50.326389000	4.160635000	142.0	
T	50.324338000	4.164069000	133.6	
T	50.324324000	4.164204000	133.4	
T	50.323980000	4.164226000	132.4	
T	50.323831000	4.164166000	131.6	
T	50.323314000	4.163862000	124.2	
T	50.322879000	4.163652000	122.7	
T	50.322671000	4.164516000	121.8	
T	50.319924000	4.160341000	122.0	
T	50.308309000	4.167878000	122.1	
T	50.308590000	4.171205000	127.9	
T	50.306398000	4.177143000	138.0	
T	50.305503000	4.176937000	131.8	
T	50.305007000	4.178785000	139.6	
T	50.305514000	4.179417000	139.1	
T	50.290657000	4.208415000	167.3	
T	50.279308000	4.221467000	198.3	
T	50.272821000	4.228765000	168.6	
T	50.263933000	4.228978000	197.6	
T	50.260652000	4.233944000	190.7	
T	50.240341000	4.236437000	199.4	
T	50.239284000	4.237635000	203.2	
T	50.238988000	4.237754000	208.8	
T	50.237798000	4.238774000	222.4	
T	50.237739000	4.238680000	222.8	
T	50.235078000	4.238601000	222.6	
T	50.232949000	4.242800000	200.5	
T	50.144425000	4.283272000	241.7	
T	50.143302000	4.283464000	238.4	
T	50.142835000	4.285680000	238.2	
T	50.140064000	4.304355000	235.4	
T	50.140000000	4.305554000	237.0	
T	50.133038000	4.316136000	269.2	
T	50.131124000	4.316744000	272.0	
T	50.127276000	4.325342000	271.7	
T	50.078439000	4.295783000	235.1	
T	50.077082000	4.294216000	230.4	
T	50.045943000	4.307464000	228.0	
T	50.046980000	4.311336000	222.7	
T	50.047211000	4.312668000	230.2	
T	50.045010000	4.314623000	243.6	
T	50.043951000	4.314668000	249.4	
T	50.034253000	4.319139000	251.6	
T	50.032458000	4.317875000	244.5	
T	50.027703000	4.319608000	259.5	
T	50.020158000	4.319804000	280.6	
T	49.983774000	4.345497000	328.0	
T	49.969506000	4.351376000	325.0	
T	49.953470000	4.348235000	323.0	
T	49.953495000	4.347757000	323.4	
T	49.898278000	4.343982000	294.7	
T	49.871265000	4.353021000	284.8	
T	49.871277000	4.353218000	285.2	
T	49.864843000	4.355703000	282.9	
T	49.862320000	4.357424000	285.6	
T	49.861356000	4.356951000	286.1	
T	49.829830000	4.355739000	258.3	
T	49.829344000	4.355491000	261.5	
T	49.828982000	4.354315000	261.3	
T	49.826812000	4.355670000	256.2	
T	49.776305000	4.358847000	264.7	
T	49.770904000	4.343048000	214.8	
T	49.770547000	4.343231000	214.4	
T	49.766744000	4.340546000	233.6	
T	49.754684000	4.339743000	270.3	
T	49.754012000	4.334996000	276.5	
T	49.736492000	4.325579000	196.7	
T	49.735436000	4.337327000	228.2	
T	49.728369000	4.341577000	217.4	
T	49.728196000	4.341582000	217.0	
T	49.714929000	4.361132000	226.9	
T	49.697457000	4.372008000	194.8	
T	49.688658000	4.362076000	216.0	
T	49.686272000	4.361309000	221.0	
T	49.683832000	4.365584000	209.0	
T	49.670812000	4.377385000	138.5	
T	49.669436000	4.376718000	125.7	
T	49.668849000	4.377500000	117.1	
T	49.668284000	4.378725000	119.8	
T	49.652374000	4.382752000	156.8	
T	49.640773000	4.387340000	164.0	
T	49.641511000	4.390625000	146.5	
T	49.621042000	4.391865000	125.9	
T	49.614302000	4.401225000	108.4	
T	49.603572000	4.419756000	120.0	
T	49.599946000	4.422867000	117.5	
T	49.599970000	4.423679000	113.5	
T	49.599047000	4.424384000	110.4	
T	49.596706000	4.425592000	100.0	
T	49.593056000	4.425846000	93.0	
T	49.587449000	4.430918000	102.2	
T	49.578291000	4.443366000	95.0	
T	49.538494000	4.443127000	98.7	
T	49.533061000	4.449866000	86.0	
T	49.507328000	4.437049000	75.0	
T	49.504176000	4.430510000	76.8	
T	49.483923000	4.422962000	86.7	
T	49.483641000	4.421828000	92.7	
T	49.481765000	4.421033000	107.8	
T	49.470608000	4.409049000	82.5	
T	49.470585000	4.410688000	84.8	
T	49.460014000	4.418134000	128.7	
T	49.452191000	4.423779000	147.7	
T	49.430191000	4.417916000	110.6	
T	49.428962000	4.422649000	106.0	
T	49.429002000	4.422750000	106.0	
T	49.398803000	4.425689000	98.4	
T	49.398817000	4.426347000	97.8	
T	49.371988000	4.427506000	121.9	
T	49.371356000	4.433386000	123.9	
T	49.350283000	4.465864000	140.1	
T	49.347703000	4.468967000	139.6	
T	49.281265000	4.511550000	180.3	
T	49.280417000	4.499784000	163.1	
T	49.274115000	4.499752000	154.8	
T	49.243161000	4.499832000	150.7	
T	49.239975000	4.501196000	128.8	
T	49.238811000	4.501769000	122.7	
T	49.207151000	4.509024000	166.1	
T	49.207550000	4.519682000	169.5	
T	49.203374000	4.519450000	165.1	
T	49.203019000	4.520271000	163.1	
T	49.183483000	4.544657000	133.2	
T	49.181955000	4.542751000	135.0	
T	49.180951000	4.543074000	138.6	
T	49.178536000	4.544827000	147.6	
T	49.165644000	4.541773000	143.2	
T	49.157546000	4.540052000	155.0	
T	49.141086000	4.536001000	136.1	
T	49.141042000	4.536153000	136.4	
T	49.132722000	4.534131000	139.0	
T	49.131483000	4.536399000	136.4	
T	49.131172000	4.536405000	136.8	
T	49.129932000	4.535106000	134.3	
T	49.129220000	4.534157000	134.8	
T	49.128357000	4.532855000	135.0	
T	49.127052000	4.534484000	136.0	
T	49.125922000	4.533953000	134.3	
T	49.123686000	4.535050000	135.2	
T	49.122642000	4.536022000	135.8	
T	49.110478000	4.527046000	141.3	
T	49.090195000	4.515139000	153.9	
T	49.064326000	4.537564000	141.0	
T	49.062910000	4.538434000	137.1	
T	49.062960000	4.539365000	136.7	
T	49.062632000	4.539363000	135.5	
T	49.060692000	4.539964000	134.0	
T	49.039423000	4.539603000	140.0	
T	49.030314000	4.533988000	148.5	
T	49.028443000	4.536503000	153.2	
T	49.027709000	4.537795000	154.8	
T	49.019479000	4.551653000	158.9	
T	49.001096000	4.551541000	165.0	
T	48.989529000	4.552564000	143.2	
T	48.987975000	4.555068000	145.0	
T	48.988857000	4.565199000	146.7	
T	48.967037000	4.575252000	174.0	
T	48.959704000	4.581359000	182.0	
T	48.930786000	4.599040000	175.6	
T	48.918427000	4.613740000	122.6	
T	48.918992000	4.620456000	150.4	
T	48.911416000	4.627922000	118.2	
T	48.911245000	4.627139000	117.0	
T	48.910490000	4.627125000	112.4	
T	48.910070000	4.628120000	112.3	
T	48.863679000	4.633393000	189.0	
T	48.820123000	4.598013000	149.3	
T	48.813343000	4.599536000	110.0	
